id,classe,vizinho_mais_proximo,classe_vizinho,distancia,mesma_classe
har_096,har,har_072,har,4.970672563641371,True
har_097,har,har_038,har,10.709781129492121,True
har_098,har,har_072,har,5.789415146246288,True
har_099,har,har_074,har,11.126722592347212,True
normal_000,normal,normal_051,normal,29.108636641597467,True
normal_001,normal,normal_092,normal,26.383115301759634,True
normal_002,normal,normal_041,normal,25.45568138856069,True
normal_003,normal,normal_076,normal,24.32659601123763,True
normal_004,normal,normal_077,normal,25.55467599709919,True
normal_005,normal,normal_082,normal,27.007724488654578,True
normal_006,normal,normal_097,normal,25.145171973384134,True
normal_007,normal,normal_067,normal,27.36350237604824,True
normal_008,normal,normal_095,normal,24.19817800374139,True
normal_009,normal,normal_096,normal,25.992237456128805,True
normal_010,normal,normal_075,normal,24.192471131186277,True
normal_011,normal,normal_084,normal,23.87852044609159,True
normal_012,normal,normal_094,normal,27.888047359202798,True
normal_013,normal,normal_041,normal,26.895350904056176,True
normal_014,normal,normal_085,normal,26.218305798180698,True
normal_015,normal,normal_085,normal,28.663722607121763,True
normal_016,normal,normal_077,normal,25.158436095165108,True
normal_017,normal,normal_074,normal,27.263372762472123,True
normal_018,normal,normal_078,normal,25.500281676102347,True
normal_019,normal,normal_097,normal,26.24301636650064,True
normal_020,normal,normal_087,normal,26.88825425338362,True
normal_021,normal,normal_091,normal,25.483831101860236,True
normal_022,normal,normal_073,normal,27.10577995244941,True
normal_023,normal,normal_078,normal,27.85799808783703,True
normal_024,normal,normal_076,normal,27.873377409152997,True
normal_025,normal,normal_090,normal,26.814600507491967,True
normal_026,normal,normal_070,normal,25.14681246638346,True
normal_027,normal,normal_077,normal,26.073892028988347,True
normal_028,normal,normal_068,normal,26.97601778462988,True
normal_029,normal,normal_083,normal,25.683511005702158,True
normal_030,normal,normal_078,normal,24.600181819411482,True
normal_031,normal,normal_084,normal,26.03857080985206,True
normal_032,normal,normal_048,normal,25.752414372621125,True
normal_033,normal,normal_095,normal,25.517184915266245,True
normal_034,normal,normal_088,normal,8.45800539299817,True
normal_035,normal,normal_088,normal,8.472376701053783,True
